unit,R179,R180,R181,R182,R132,R319,R570,R571,R572
R179,,,,,,,-0.746869452246621,-0.8544399066605445,-1.3094803345280404
R180,,,,,,,-0.054679552630327415,-0.06255496419777243,-0.0958692294280117
R181,,,,,,,-0.022365737843587374,-0.025587040543678174,-0.03921367219570835
R182,,,,,,,-0.0265120264998834,-0.0303305127553431,-0.046483327475307985
R132,,,,,,,-0.12123134280207903,-0.13869210598525925,-0.21255395953097533
R319,,,,,,,0.11408772678186369,0.1305196059758251,0.20002911376609245
R570,-1.3389220793432501,-18.28837201285661,-44.71124570060703,-37.718731157891604,-8.24869193796351,8.765184724137812,1.0,1.1440284564997887,1.7532921323653783
R571,-1.170357320865731,-15.985941528771745,-39.08228457655965,-32.9700987275211,-7.210215699704524,7.661684177817856,0.8741041311678114,1.0,1.5325598960445983
R572,-0.7636617165086466,-10.430875537086704,-25.50130972200667,-21.513089839173013,-4.704687704743843,4.999272261783689,0.5703556079105273,0.6525030457738791,1.0
