unit,R015,R018,R023,R025,R027,R029,R035,R041,R049,R050,R051,R054,R055,R079,R080,R081,R086,R097,R099,R113,R116,R171,R175,R178,R179,R188,R227,R236,R257,R290,R302,R319,R322,R463,R542,R543,R544,R570,R571,R572
R099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0782779669982253,0.0782779669982253,0.0782779669982253
R113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07095053571719212,-0.07095053571719212,-0.07095053571719212
R116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18682721769273003,-0.18682721769273003,-0.18682721769273003
R171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07662962852696995,0.07662962852696995,0.07662962852696995
R175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17802887106537854,-0.17802887106537854,-0.17802887106537854
R178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3759851598735722,-0.3759851598735722,-0.3759851598735722
R179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8685267077014116,-0.8685267077014116,-0.8685267077014116
R188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13464680634445161,-0.13464680634445161,-0.13464680634445161
R227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06967368733774196,0.06967368733774196,0.06967368733774196
R236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09094189479884159,0.09094189479884159,0.09094189479884159
R257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08970454535041464,-0.08970454535041464,-0.08970454535041464
R290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07726330226284744,0.07726330226284744,0.07726330226284744
R302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07927367592745088,-0.07927367592745088,-0.07927367592745088
R319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18003237785117576,0.18003237785117576,0.18003237785117576
R322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08138700676491081,-0.08138700676491081,-0.08138700676491081
R463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08498898951002767,-0.08498898951002767,-0.08498898951002767
R542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06561583355789995,0.06561583355789995,0.06561583355789995
R543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15750823320940305,0.15750823320940305,0.15750823320940305
R544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06701812612539315,0.06701812612539315,0.06701812612539315
R570,0.35667570371177804,0.3472541530063162,0.32327331754104577,0.3482614230346823,0.3196732595157281,0.3558215792669745,0.326169941601049,0.3480476283288874,0.3455271566301635,0.3518328364750965,0.3703095688780374,0.3430317075668666,0.35597717612050755,0.34898816451326503,0.3118482600497867,0.35464135795602064,0.3425638268429283,0.34062738107792495,0.3246357814446416,0.3412167261907991,0.35409191307697,0.32481893016367,0.3531143190072643,0.3751094622081747,0.4298363008557124,0.348294089593828,0.32559181251802866,0.32322867835568425,0.343300505038935,0.32474852197079473,0.3421415195474945,0.31332973579431384,0.3423763340849901,0.34277655439000304,0.3260426851602333,0.3158324185322885,0.3258868748749563,0.0,0.0,0.0
R571,0.35667570371177804,0.3472541530063162,0.32327331754104577,0.3482614230346823,0.3196732595157281,0.3558215792669745,0.326169941601049,0.3480476283288874,0.3455271566301635,0.3518328364750965,0.3703095688780374,0.3430317075668666,0.35597717612050755,0.34898816451326503,0.3118482600497867,0.35464135795602064,0.3425638268429283,0.34062738107792495,0.3246357814446416,0.3412167261907991,0.35409191307697,0.32481893016367,0.3531143190072643,0.3751094622081747,0.4298363008557124,0.348294089593828,0.32559181251802866,0.32322867835568425,0.343300505038935,0.32474852197079473,0.3421415195474945,0.31332973579431384,0.3423763340849901,0.34277655439000304,0.3260426851602333,0.3158324185322885,0.3258868748749563,0.0,0.0,0.0
R572,0.35667570371177804,0.3472541530063162,0.32327331754104577,0.3482614230346823,0.3196732595157281,0.3558215792669745,0.326169941601049,0.3480476283288874,0.3455271566301635,0.3518328364750965,0.3703095688780374,0.3430317075668666,0.35597717612050755,0.34898816451326503,0.3118482600497867,0.35464135795602064,0.3425638268429283,0.34062738107792495,0.3246357814446416,0.3412167261907991,0.35409191307697,0.32481893016367,0.3531143190072643,0.3751094622081747,0.4298363008557124,0.348294089593828,0.32559181251802866,0.32322867835568425,0.343300505038935,0.32474852197079473,0.3421415195474945,0.31332973579431384,0.3423763340849901,0.34277655439000304,0.3260426851602333,0.3158324185322885,0.3258868748749563,0.0,0.0,0.0
